,Course title,Course price,Course rating,Course method,Brief description,Course link
66,Microsoft Azure: AZ-303 Microsoft Azure Architect Technologies - Databases - Database ontwerp / design - Windows Azure - Azure IaaS - Cloud…,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 AZ-303 Microsoft Azure Architect Technologies| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, m…",https://www.springest.nl//oem-office-elearning-menu/az-303-microsoft-azure-architect-technologies
67,AZ-500 Microsoft Azure Security Technologies: Microsoft Azure - Cloud Computing - Windows Azure - Cloud Security,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 AZ-500 Microsoft Azure Security Technologies| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mo…",https://www.springest.nl//oem-office-elearning-menu/azure-az-500-microsoft-azure-security-technologies
68,Administering a SQL Database Infrastructure exam 70-764 - SQL - SQL Server- Microsoft SQL Server,€ 399,"Opleiderscore: star 8,9 ",E-Learning,"🗂 70-764 Administering a SQL Database Infrastructure| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 …",https://www.springest.nl//oem-office-elearning-menu/administering-a-sql-database-infrastructure-exam-70-764
69,70-413 Designing and Implementing a Server Infrastructure - MCSA Windows Server 2012 - MCSA - Data protection - IT Beveiliging / Security -…,€ 369,"Opleiderscore: star 8,9 ",E-Learning,🗂 70-413 Designing and Implementing a Server Infrastructure - MCSA Windows Server 2012 - MCSA - Data protection - IT Beveiliging / Security…,https://www.springest.nl//oem-office-elearning-menu/70-413-designing-and-implementing-a-server-infrastructure-2
70,Amazon Web Services AWS: AWS Certified Solutions Architect - Associate SAA-C02 - Cloud Computing - Cloud Security - Cyber Security - IT Bev…,€ 379,"Opleiderscore: star 8,9 ",E-Learning,"🗂 AWS Certified Solutions Architect - Associate SAA-C02 | 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, interne…",https://www.springest.nl//oem-office-elearning-menu/aws-aws-certified-solutions-architect-associate
71,Cisco CCNP Enterprice ENCOR exam: 350-401 - Cisco Professional (CCDP / CCNP) -,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 Cisco 350-401 CCNP Enterprice ENCOR| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mobiel, tab…",https://www.springest.nl//oem-office-elearning-menu/cisco-350-401-implementing-cisco-enterprise-network-core-technologies
72,MD-100: MD-100 Windows 10,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 MD-100 Windows 10| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mobiel, tablet | 🗓 Abonnement…",https://www.springest.nl//oem-office-elearning-menu/microsoft-windows-10-exam-md-100
73,CISSP / Certified Information Systems Security Professional 2021 / IT Beveiliging / Security/ Informatiebeveiliging / IT Auditing & Governa…,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 Certified Information Systems Security Professional CISSP 2021| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk,…",https://www.springest.nl//oem-office-elearning-menu/cissp-certified-information-systems-security-professional-cissp-2021
74,Managing Office 365 Identities and Requirements exam 70-346,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 Managing Office 365 Identities and Requirements exam 70-346| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, in…",https://www.springest.nl//oem-office-elearning-menu/managing-office-365-identities-and-requirements-exam-70-347
75,Cisco: Designing for Cisco Internetwork Solutions (DESGN) Exam 200-310,€ 299,"Opleiderscore: star 8,9 ",E-Learning,"🗂 Designing for Cisco Internetwork Solutions (DESGN) Exam 200-310| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk…",https://www.springest.nl//oem-office-elearning-menu/cisco-200-310-designing-for-cisco-internetwork-solutions-desgn
76,Microsoft Azure: AZ-300 Microsoft Azure Architect Technologies - Databases - Database ontwerp / design - Windows Azure - Azure IaaS - Cloud…,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 AZ-300 Microsoft Azure Architect Technologies| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, m…",https://www.springest.nl//oem-office-elearning-menu/az-300-microsoft-azure-architect-technologies-2
77,Cisco: Cisco 200-201 Understanding Cisco Cybersecurity Operations Fundamentals (CBROPS) - IT voor niet IT-ers,€ 369,"Opleiderscore: star 8,9 ",E-Learning,🗂 Cisco 200-201 Understanding Cisco Cybersecurity Operations Fundamentals (CBROPS)| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden…,https://www.springest.nl//oem-office-elearning-menu/cisco-cisco-200-201-understanding-cisco-cybersecurity-operations-fundamentals-cbrops
78,AZ-305 Designing Microsoft Azure Infrastructure Solutions - Microsoft Azure - Cloud Computing - Windows Azure,€ 299,"Opleiderscore: star 8,9 ",E-Learning,"🗂 AZ-305 Designing Microsoft Azure Infrastructure Solutions| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, inte…",https://www.springest.nl//oem-office-elearning-menu/designing-microsoft-azure-infrastructure-solutions-az-305
79,Google E-Course BOX - Google Apps - Google G Suite - Google Data Studio - Google Cloud - Google Analytics - Google Ads- E-mail - B2B-Commun…,€ 1.349,"Opleiderscore: star 8,9 ",E-Learning,"🗂 Google E-Course BOX kortingspakket|🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mobiel, table…",https://www.springest.nl//oem-office-elearning-menu/google-google-e-course-box
80,Microsoft PowerApps M55265 - Microsoft Power Platform - Microsoft Power Automate,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 Microsoft PowerApps M55265| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mobiel, tablet | 🗓 A…",https://www.springest.nl//oem-office-elearning-menu/microsoft-powerapps
81,Microsoft Office 2019 Gevorderd Expert - Microsoft Office 365 - Microsoft Office - onbeperkt,"€ 224,25","Opleiderscore: star 8,9 ",E-Learning,"🗂 Microsoft Office 2019 Gevorderd Expert kortingspakket| 🇳🇱 Taal: Nederlands | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, inte…",https://www.springest.nl//oem-office-elearning-menu/microsoft-office-2019-gevorderd-expert
82,DP-100 Designing and Implementing a Data Science Solution on Azure - Data Science - Microsoft Azure - Machine learning - Cloud Computing - …,€ 299,"Opleiderscore: star 8,9 ",E-Learning,🗂 DP-100 Designing and Implementing a Data Science Solution on Azure certificeringspakket| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakg…,https://www.springest.nl//oem-office-elearning-menu/microsoft-dp-100
83,Querying Data with Transact-SQL exam 70-761,€ 399,"Opleiderscore: star 8,9 ",E-Learning,"🗂 Querying Data with Transact-SQL exam 70-761| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mob…",https://www.springest.nl//oem-office-elearning-menu/https-www-officeelearningmenu-nl-nl-querying-data-with-transact-sql-exam-70-761-html
84,70-331 Core Solutions of Microsoft SharePoint Server 2013,€ 379,"Opleiderscore: star 8,9 ",E-Learning,"🗂 70-331 Core Solutions of Microsoft SharePoint Server 2013| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, inte…",https://www.springest.nl//oem-office-elearning-menu/70-331-core-solutions-of-microsoft-sharepoint-server-2013
85,70-480 Programming in HTML5 with JavaScript and CSS3 - Programmeren (algemeen),€ 369,"Opleiderscore: star 8,9 ",E-Learning,🗂 70-480 Programming in HTML5 with JavaScript and CSS3 - Programmeren (algemeen)| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: …,https://www.springest.nl//oem-office-elearning-menu/70-480-programming-in-html5-with-javascript-and-css3-2
86,Cisco: 350-601 DCCOR Implementing and Operating Cisco Data Center Core Technologies - Cisco DCCOR,€ 239,"Opleiderscore: star 8,9 ",E-Learning,"🗂 350-601 Implementing Cisco Data Center Core Technologies DCCOR| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk,…",https://www.springest.nl//oem-office-elearning-menu/cisco-350-601-dcco
87,AZ-400 Microsoft Azure DevOps Solutions  - Microsoft Azure - Cloud Computing - Windows Azure - DevOps,€ 299,"Opleiderscore: star 8,9 ",E-Learning,"🗂 AZ-400 Microsoft Azure DevOps Solutions| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mobiel,…",https://www.springest.nl//oem-office-elearning-menu/azure-az-400-microsoft-azure-devops-solutions
88,Cisco 200-901 DevNet Associate,€ 299,"Opleiderscore: star 8,9 ",E-Learning,"🗂 Cisco 200-901 DevNet Associate| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mobiel, tablet |…",https://www.springest.nl//oem-office-elearning-menu/cisco-200-901-devnet-associate
89,Microsoft MS-203: MS-203 Microsoft 365,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 MS-203 Microsoft 365 Messaging | 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mobiel, tablet …",https://www.springest.nl//oem-office-elearning-menu/ms-203-microsoft-365-messaging
90,Cisco: Cisco 200-125 CCNA Routing & Switching,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 Cisco 200-125 CCNA Routing & Switching| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mobiel, …",https://www.springest.nl//oem-office-elearning-menu/online-training-cisco-200-125-interconnecting-cisco-networking-devices-accelerated-v-3-0-ccnax
91,70-466 Implementing Data Models and Reports with Microsoft SQL Server - SQL - SQL Server,€ 369,"Opleiderscore: star 8,9 ",E-Learning,🗂 70-466 Implementing Data Models and Reports with Microsoft SQL Server - SQL - SQL Server| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vak…,https://www.springest.nl//oem-office-elearning-menu/70-466-implementing-data-models-and-reports-with-microsoft-sql-server
92,AZ-103 Microsoft Azure Administrator - Microsoft Azure - Azure IaaS - Cloud Computing - Windows Azure,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 AZ-103 Microsoft Azure Administrator| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mobiel, ta…",https://www.springest.nl//oem-office-elearning-menu/azure-microsoft-azure-administrator-exam-az-103
93,AZ-500 Microsoft Azure Security Technologies: Microsoft Azure - Cloud Computing - Windows Azure - Cloud Security,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 AZ-500 Microsoft Azure Security Technologies| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mo…",https://www.springest.nl//oem-office-elearning-menu/azure-az-500-microsoft-azure-security-technologies
94,Administering a SQL Database Infrastructure exam 70-764 - SQL - SQL Server- Microsoft SQL Server,€ 399,"Opleiderscore: star 8,9 ",E-Learning,"🗂 70-764 Administering a SQL Database Infrastructure| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 …",https://www.springest.nl//oem-office-elearning-menu/administering-a-sql-database-infrastructure-exam-70-764
95,70-413 Designing and Implementing a Server Infrastructure - MCSA Windows Server 2012 - MCSA - Data protection - IT Beveiliging / Security -…,€ 369,"Opleiderscore: star 8,9 ",E-Learning,🗂 70-413 Designing and Implementing a Server Infrastructure - MCSA Windows Server 2012 - MCSA - Data protection - IT Beveiliging / Security…,https://www.springest.nl//oem-office-elearning-menu/70-413-designing-and-implementing-a-server-infrastructure-2
96,Amazon Web Services AWS: AWS Certified Solutions Architect - Associate SAA-C02 - Cloud Computing - Cloud Security - Cyber Security - IT Bev…,€ 379,"Opleiderscore: star 8,9 ",E-Learning,"🗂 AWS Certified Solutions Architect - Associate SAA-C02 | 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, interne…",https://www.springest.nl//oem-office-elearning-menu/aws-aws-certified-solutions-architect-associate
97,CISSP / Certified Information Systems Security Professional 2021 / IT Beveiliging / Security/ Informatiebeveiliging / IT Auditing & Governa…,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 Certified Information Systems Security Professional CISSP 2021| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk,…",https://www.springest.nl//oem-office-elearning-menu/cissp-certified-information-systems-security-professional-cissp-2021
98,Managing Office 365 Identities and Requirements exam 70-346,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 Managing Office 365 Identities and Requirements exam 70-346| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, in…",https://www.springest.nl//oem-office-elearning-menu/managing-office-365-identities-and-requirements-exam-70-347
99,MD-100: MD-100 Windows 10,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 MD-100 Windows 10| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mobiel, tablet | 🗓 Abonnement…",https://www.springest.nl//oem-office-elearning-menu/microsoft-windows-10-exam-md-100
100,Project Management Professional PMP 2021 Update - Projectmanagement - Agile Project Management (AgilePM) - PMI-USA / PMBOK - Projectleider …,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 Project Management Professional PMP 2021| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mobiel…",https://www.springest.nl//oem-office-elearning-menu/project-management-professional-pmp-2021-update
101,70-357 Developing Mobile Apps Trainingspakket,€ 299,"Opleiderscore: star 8,9 ",E-Learning,"🗂 1Z0-815 Java SE 11 Programmer I - Programmeren (algemeen)| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, inte…",https://www.springest.nl//oem-office-elearning-menu/70-357-developing-mobile-apps
102,Certified Ethical Hacker CEH v11 - Ethical Hacking - EC-Council - IT Beveiliging / Security - IT Security,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 Certified Ethical Hacker (CEH) v11| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mobiel, tabl…",https://www.springest.nl//oem-office-elearning-menu/certified-ethical-hacker-ceh-v11
103,Microsoft Azure: Developing Microsoft Azure and Web Services exam 70-487-Updated,€ 379,"Opleiderscore: star 8,9 ",E-Learning,"🗂 Developing Microsoft Azure and Web Services exam 70-487-Updated| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk…",https://www.springest.nl//oem-office-elearning-menu/developing-microsoft-azure-and-web-services-exam-70-487-updated
104,Amazon Web Services AWS: AWS Certified SysOps Administrator – Associate SOA-C02 - Cloud Computing - Cloud Security - Cyber Security - IT Be…,€ 299,"Opleiderscore: star 8,9 ",E-Learning,"🗂 AWS Certified SysOps Administrator – Associate SOA-C02| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, interne…",https://www.springest.nl//oem-office-elearning-menu/amazon-web-services-aws-certified-solutions-professional
105,MD-101 Managing Modern Desktops - Microsoft Windows 10,€ 359,"Opleiderscore: star 8,9 ",E-Learning,"🗂 MD-101 Managing Modern Desktops| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mobiel, tablet …",https://www.springest.nl//oem-office-elearning-menu/md-101-managing-modern-desktops-certificeringspakket
106,SSCP: Systems Security Certified Practitioner SSCP 2018 - Cyber Security - Cloud Security - Security Engineer - IT Beveiliging / Security -…,€ 299,"Opleiderscore: star 8,9 ",E-Learning,"🗂 SSCP Systems Security Certified Practitioner 2018| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 P…",https://www.springest.nl//oem-office-elearning-menu/isc-2-systems-security-certified-practitioner-sscp
107,Amazon Web Services AWS: AWS Certified DevOps Engineer – Professional (DOP-C01) - Cloud Computing - Cloud Security - Cyber Security - IT Be…,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 AWS Certified DevOps Engineer – Professional (DOP-C01)| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, interne…",https://www.springest.nl//oem-office-elearning-menu/amazon-web-services-aws-aws-certified-devops-engineer-professional-dop-c01
108,Cisco: Cisco 300-115 Implementing Cisco IP Switched Networks,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 Cisco 300-115 Implementing Cisco IP Switched Networks| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet…",https://www.springest.nl//oem-office-elearning-menu/cisco-300-115-implementing-cisco-ip-switched-networks-switch-v-2-0
109,Cisco: Cisco 300-101 ROUTE CCNP Routing and Switching - Cisco Professional (CCDP / CCNP),€ 295,"Opleiderscore: star 8,9 ",E-Learning,🗂 Cisco 300-101 ROUTE CCNP Routing and Switching - Cisco Professional (CCDP / CCNP)| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebiede…,https://www.springest.nl//oem-office-elearning-menu/cisco-300-101-route-ccnp-routing-and-switching
110,70-414 Windows Server 2012 Trainingspakket,€ 349,"Opleiderscore: star 8,9 ",E-Learning,"🗂 70-414 Implementing an Advanced Server Infrastructure Online| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, i…",https://www.springest.nl//oem-office-elearning-menu/70-414-implementing-an-advanced-server-infrastructure
111,Cisco: Cisco 300-710 Securing Networks with Cisco Firepower (SNCF),€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 Cisco 300-710 Securing Networks with Cisco Firepower (SNCF)| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, in…",https://www.springest.nl//oem-office-elearning-menu/cisco-cisco-300-710-securing-networks-with-cisco-firepower-sncf
112,AI-900 Azure AI Fundamentals - Artificial Intelligence - Machine learning - NLP - Microsoft Azure - Windows Azure,€ 259,"Opleiderscore: star 8,9 ",E-Learning,"🗂 AI-900 Azure AI Fundamentals certificeringspakket| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 P…",https://www.springest.nl//oem-office-elearning-menu/ai-900-azure-ai-fundamentals-e-learning
113,Icademy Abonnement,€ 324,Opleiderscore: star 7 ,E-Learning,"🗂 260 online cursussen | 🇳🇱 Taal: Nederlands | 🗓 Abonnement: per jaar | 🎯Vakgebieden: taal, marketing, persoonlijk, internet, projectmanage…",https://www.springest.nl//icademy/icademy-abonnement
114,icttrainingen.nl abonnement,€ 792,"Opleiderscore: star 6,6 ",E-Learning,"🗂 700 online cursussen | 🇳🇱 Taal: Nederlands | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, business, projectmanagement, internet Op dit mome…",https://www.springest.nl//icttrainingen-nl/icttrainingen-nl-abonnement
115,CADLearning verlenging,€ 339,,E-Learning,Verlenging huidige toegang tot de portal van CADLearning 🗂 35.000+ online lessen | 🇬🇧 Taal: Engels | 🗓 Abonnement: jaar | 🎯 Vakgebieden: IT…,https://www.springest.nl//cadline/cadlearning-verlenging
116,CADlearning - 12 month licence,€ 339,,E-Learning,"🗂 35.000+ online lessen | 🇬🇧 Taal: Engels | 🗓 Abonnement: jaar | 🎯 Vakgebieden: IT, design [product-intro] CADLearning delivers the best Au…",https://www.springest.nl//cadline/cadlearning-12-month-licence
117,IT-University Subscription,€ 995,,E-Learning,"🗂 500 online cursussen | 🇳🇱🇬🇧 Taal: Nederlands en Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, security, projectmanagement Now follo…",https://www.springest.nl//it-university/t-university-subscription
118,NCOI Online Academy abonnement (Nederlands),€ 163,,E-Learning,"🗂 190 online cursussen | 🇳🇱 Taal: Nederlands | 🗓 Abonnement: per maand | 🎯Vakgebieden: taal, marketing, persoonlijk, internet, projectmanag…",https://www.springest.nl//online-academy/ncoi-online-academy-abonnement
119,DataCamp Subscription,€ 300,,E-Learning,"🗂 400 online cursussen | 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, data science Learn Data Science Online The skills peo…",https://www.springest.nl//datacamp/datacamp-subscription
120,Coursera Plus Subscription,€ 358,"Opleiderscore: star 7,2 ",E-Learning,"🗂 3000+ online cursussen | 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: design, marketing, persoonlijk, internet, projectmanage…",https://www.springest.nl//coursera/coursera-plus-subscription
121,OpenSesame Subscription,"€ 241,89",,E-Learning,"🗂 5000 online cursussen | 🇬🇧 🇫🇷 Taal: Engels en Frans | 🗓 Abonnement: per maand | 🎯Vakgebieden: IT, safety, business, management OpenSesame…",https://www.springest.nl//opensesame/opensesame-subscription
122,LinkedIn Learning Subscription,"€ 239,88",,E-Learning,"🗂 15 000 online cursussen | 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: sales, marketing, persoonlijk, internet, projectmanage…",https://www.springest.nl//linkedin-learning/linkedin-learning-subscription
123,FutureLearn Subscription,"€ 239,99",,E-Learning,"🗂 643 online cursussen | 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯 Vakgebieden: business, management, persoonlijk, taal, IT, marketing, …",https://www.springest.nl//future-learn/futurelearn-subscription
124,Duolingo abonnement - online alle talen leren,Gratis,Opleiderscore: star 7 ,E-Learning,🗂 30 talen beschikbaar | 🇳🇱 Taal: Nederlands | 🗓 Abonnement: per jaar | 🎯Vakgebieden: taal De beste nieuwe manier om een taal te leren. Ler…,https://www.springest.nl//duolingo/duolingo-abonnement-online-alle-talen-leren
125,OpenClassrooms Subscription,Gratis,,E-Learning,"🗂 600+ online cursussen | 🇬🇧 🇫🇷 Taal: Engels en Frans | 🗓 Abonnement: per jaar | 🎯Vakgebieden: taal, marketing, persoonlijk, internet, proj…",https://www.springest.nl//openclassrooms/openclassrooms-subscription
126,EdX subscription,Gratis,,E-Learning,"🗂 2000+ online cursussen | 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: marketing, persoonlijk, internet, projectmanagement, ju…",https://www.springest.nl//edx/edx-all-you-can-learn
127,Skillshare Subscription,Gratis,,E-Learning,"🗂 150+ online cursussen | 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: design, marketing, business, internet At Skillshare, we’…",https://www.springest.nl//skillshare/skillshare-subscription
128,Citrix All-Access Learning Subscription,€ 1.200,,E-Learning,"🗂 200+ online cursussen | 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, Citrix Train at your own pace with the Citrix All-Ac…",https://www.springest.nl//citrix-education/citrix-all-access-learning-subscription
129,Learn Enough Subscription,€ 108,,E-Learning,🗂 9 learning tracks | 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT WHAT’S IN A SUBSCRIPTION? The Learn Enough tutorials and …,https://www.springest.nl//learn-enough/learn-enough-subscription
130,Red Hat Subscription,€ 5.350,,E-Learning,"🗂 1000 online cursussen | 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, Red Hat Red Hat Learning Subscription Fill skills ga…",https://www.springest.nl//red-hat/red-hat-subscription
